file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,196,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,0
style.css,197,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,0
style.css,198,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,48
style.css,199,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,12
style.css,200,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,0
style.css,201,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,0
style.css,202,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,8
style.css,203,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,13
style.css,204,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,7
style.css,205,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,19
style.css,206,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,58
style.css,207,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,8
style.css,208,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,12
style.css,209,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,13
style.css,210,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,22
style.css,211,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,20
style.css,212,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,25
style.css,213,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,0
style.css,214,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,0
style.css,215,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,11
style.css,216,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,13
style.css,217,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,7
style.css,218,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,19
style.css,219,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,10
style.css,220,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,0
style.css,221,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,0
style.css,222,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,16
style.css,223,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,10
style.css,224,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,11
style.css,225,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,19
style.css,226,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,30
style.css,227,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,21
style.css,228,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,0
style.css,229,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,0
style.css,230,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,0
style.css,231,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,22
style.css,232,css,c5b2736d,Edgar,2025-02-07,20:09:00,-08:00,2025-02-07T20:09:00-08:00,0,36
style.css,233,css,c65ce0c3,Edgar,2025-02-07,19:57:09,-08:00,2025-02-07T19:57:09-08:00,0,0
